airport,date,windSpeedKmph,WindDirDegree,WeatherCode,precipMM,visibility,pressure,cloudcover,DewPointF,WindGustKmph,tempF,WindChillF,humidity,time
ATL,2017-09-01,16,147,353,1.3,9,1014,44,68,27,72,72,88,0
ATL,2017-09-01,16,154,353,0.9,10,1013,54,68,27,72,72,90,100
ATL,2017-09-01,16,160,122,0.4,10,1013,64,69,27,72,72,92,200
ATL,2017-09-01,16,166,122,0.0,10,1012,74,69,27,72,72,94,300
ATL,2017-09-01,17,171,122,0.0,10,1012,83,69,28,72,72,94,400
ATL,2017-09-01,18,176,353,0.1,10,1011,91,69,30,72,72,95,500
ATL,2017-09-01,19,180,353,0.1,10,1011,100,69,31,72,72,95,600
ATL,2017-09-01,20,185,353,0.4,10,1011,97,68,32,72,72,93,700
ATL,2017-09-01,21,189,353,0.7,10,1011,95,68,32,73,73,91,800
ATL,2017-09-01,22,193,353,1.0,10,1011,92,68,33,73,73,89,900
ATL,2017-09-01,23,199,353,1.2,10,1011,78,67,33,74,74,83,1000
ATL,2017-09-01,24,205,113,1.5,10,1011,65,66,33,76,76,78,1100
ATL,2017-09-01,25,210,113,1.7,10,1011,51,65,33,78,78,72,1200
ATL,2017-09-01,25,216,113,1.2,10,1011,42,64,32,79,79,67,1300
ATL,2017-09-01,24,222,119,0.6,9,1011,34,63,31,81,81,63,1400
ATL,2017-09-01,24,228,119,0.1,9,1011,25,61,30,82,82,58,1500
ATL,2017-09-01,22,233,119,0.1,10,1011,33,61,28,81,81,58,1600
ATL,2017-09-01,21,237,113,0.0,10,1011,41,61,26,80,80,58,1700
ATL,2017-09-01,19,241,113,0.0,10,1011,50,62,24,79,79,57,1800
ATL,2017-09-01,17,245,113,0.0,10,1012,34,62,24,77,77,60,1900
ATL,2017-09-01,16,250,113,0.0,10,1013,19,62,24,76,76,63,2000
ATL,2017-09-01,15,254,113,0.0,10,1013,4,62,24,74,74,66,2100
ATL,2017-09-01,15,264,113,0.0,10,1014,8,61,24,72,72,70,2200
ATL,2017-09-01,15,275,116,0.0,9,1015,12,60,24,71,71,73,2300
ATL,2017-09-02,15,286,116,0.0,9,1016,16,60,24,69,69,77,0
ATL,2017-09-02,15,285,116,0.0,10,1016,18,59,22,68,68,78,100
ATL,2017-09-02,14,285,113,0.0,10,1016,21,59,21,66,66,79,200
ATL,2017-09-02,14,285,113,0.0,10,1017,24,59,19,65,65,80,300
ATL,2017-09-02,13,288,113,0.0,10,1017,16,59,18,66,66,80,400
ATL,2017-09-02,12,292,113,0.0,10,1017,8,60,17,67,66,81,500
ATL,2017-09-02,11,295,113,0.0,10,1017,0,61,15,67,67,81,600
ATL,2017-09-02,11,298,113,0.0,10,1017,0,61,15,69,68,79,700
ATL,2017-09-02,11,300,113,0.0,10,1018,0,61,15,70,68,77,800
ATL,2017-09-02,11,303,113,0.0,10,1018,0,61,14,72,69,75,900
ATL,2017-09-02,12,299,113,0.0,10,1018,0,61,15,74,72,69,1000
ATL,2017-09-02,13,296,113,0.0,10,1018,1,61,16,77,74,64,1100
ATL,2017-09-02,14,292,113,0.0,10,1019,1,60,17,80,76,58,1200
ATL,2017-09-02,15,288,113,0.0,10,1018,8,60,17,81,78,55,1300
ATL,2017-09-02,15,285,116,0.0,10,1018,15,60,18,82,79,52,1400
ATL,2017-09-02,16,281,116,0.0,10,1018,21,59,18,83,80,49,1500
ATL,2017-09-02,15,283,116,0.0,10,1018,27,60,18,83,80,50,1600
ATL,2017-09-02,15,285,113,0.0,10,1017,33,61,17,83,80,51,1700
ATL,2017-09-02,14,287,113,0.0,10,1017,38,61,17,83,81,52,1800
ATL,2017-09-02,13,289,113,0.0,10,1017,26,64,15,83,81,56,1900
ATL,2017-09-02,11,292,113,0.0,10,1018,13,67,13,83,82,60,2000
ATL,2017-09-02,10,294,113,0.0,10,1018,0,70,12,83,83,65,2100
ATL,2017-09-02,9,294,113,0.0,10,1018,0,70,10,81,81,70,2200
ATL,2017-09-02,8,294,113,0.0,10,1018,0,71,9,80,80,76,2300
ATL,2017-09-03,7,294,113,0.0,10,1018,0,72,8,78,78,82,0
ATL,2017-09-03,6,297,113,0.0,10,1018,0,71,7,76,76,84,100
ATL,2017-09-03,6,300,113,0.0,10,1018,0,70,7,74,74,86,200
ATL,2017-09-03,6,303,113,0.0,10,1019,0,68,6,72,72,88,300
ATL,2017-09-03,6,305,113,0.0,10,1019,9,68,7,71,71,90,400
ATL,2017-09-03,6,307,143,0.0,10,1019,17,67,7,70,69,92,500
ATL,2017-09-03,6,308,143,0.0,10,1019,26,66,7,69,68,94,600
ATL,2017-09-03,7,309,143,0.0,10,1019,35,65,8,70,68,91,700
ATL,2017-09-03,7,311,113,0.0,10,1020,43,65,8,71,69,87,800
ATL,2017-09-03,8,312,113,0.0,10,1020,52,64,9,71,69,84,900
ATL,2017-09-03,8,309,113,0.0,10,1020,39,64,10,75,73,75,1000
ATL,2017-09-03,9,306,116,0.0,10,1020,26,63,10,79,77,66,1100
ATL,2017-09-03,10,304,116,0.0,10,1020,12,63,11,83,80,57,1200
ATL,2017-09-03,10,303,116,0.0,10,1020,21,62,11,84,81,54,1300
ATL,2017-09-03,10,303,116,0.0,10,1019,29,62,11,85,81,52,1400
ATL,2017-09-03,10,302,116,0.0,10,1019,37,61,12,86,82,49,1500
ATL,2017-09-03,10,303,116,0.0,10,1018,36,61,11,86,82,50,1600
ATL,2017-09-03,10,304,113,0.0,10,1018,35,62,11,85,82,50,1700
ATL,2017-09-03,9,305,113,0.0,10,1018,35,62,11,85,83,50,1800
ATL,2017-09-03,8,305,113,0.0,10,1018,26,64,10,84,82,55,1900
ATL,2017-09-03,7,305,113,0.0,10,1018,17,65,8,82,81,59,2000
ATL,2017-09-03,6,305,113,0.0,10,1018,9,67,7,81,81,63,2100
ATL,2017-09-03,5,302,113,0.0,10,1018,6,69,6,80,80,70,2200
ATL,2017-09-03,4,299,113,0.0,10,1018,3,71,5,79,79,76,2300
ATL,2017-09-04,3,296,113,0.0,10,1019,0,73,3,79,79,83,0
ATL,2017-09-04,3,293,113,0.0,10,1019,0,73,3,78,78,86,100
ATL,2017-09-04,3,291,143,0.0,10,1018,0,73,3,77,77,89,200
ATL,2017-09-04,3,289,143,0.0,10,1018,0,73,3,76,76,91,300
ATL,2017-09-04,2,295,143,0.0,10,1018,9,72,3,74,74,93,400
ATL,2017-09-04,2,300,143,0.0,10,1018,18,70,3,72,72,94,500
ATL,2017-09-04,2,305,143,0.0,10,1018,26,69,3,70,70,96,600
ATL,2017-09-04,2,302,143,0.0,10,1019,35,67,3,70,70,92,700
ATL,2017-09-04,2,298,113,0.0,10,1019,43,66,3,70,70,88,800
ATL,2017-09-04,2,294,113,0.0,10,1019,52,64,3,70,70,84,900
ATL,2017-09-04,3,268,113,0.0,10,1019,35,64,4,74,74,74,1000
ATL,2017-09-04,4,242,113,0.0,10,1019,18,64,5,78,78,64,1100
ATL,2017-09-04,5,216,113,0.0,10,1019,1,64,6,83,83,54,1200
ATL,2017-09-04,7,221,113,0.0,10,1018,4,63,8,84,84,51,1300
ATL,2017-09-04,9,226,116,0.0,10,1018,6,62,11,85,85,48,1400
ATL,2017-09-04,11,232,116,0.0,10,1017,9,62,13,86,86,44,1500
ATL,2017-09-04,11,231,116,0.0,10,1016,20,61,13,85,85,45,1600
ATL,2017-09-04,11,230,119,0.0,10,1016,31,61,13,84,84,46,1700
ATL,2017-09-04,11,229,119,0.0,10,1015,43,61,13,83,83,47,1800
ATL,2017-09-04,9,228,119,0.0,10,1015,45,63,12,83,83,52,1900
ATL,2017-09-04,8,226,113,0.0,10,1015,47,64,10,82,82,57,2000
ATL,2017-09-04,6,224,113,0.0,10,1015,50,66,9,81,81,61,2100
ATL,2017-09-04,5,233,113,0.0,10,1015,35,68,7,80,80,69,2200
ATL,2017-09-04,4,242,113,0.0,10,1015,21,71,5,79,79,76,2300
ATL,2017-09-05,3,251,113,0.0,10,1015,7,73,4,79,79,83,0
ATL,2017-09-05,3,265,113,0.0,10,1015,12,72,4,77,77,85,100
ATL,2017-09-05,4,279,116,0.0,10,1015,17,71,5,76,76,87,200
ATL,2017-09-05,4,293,116,0.0,10,1015,22,71,6,74,74,89,300
ATL,2017-09-05,4,287,116,0.0,10,1015,33,70,6,73,73,91,400
ATL,2017-09-05,4,281,143,0.0,10,1015,44,70,6,72,72,93,500
ATL,2017-09-05,4,275,143,0.0,10,1015,55,69,6,71,71,95,600
ATL,2017-09-05,5,277,143,0.0,10,1015,53,68,7,71,71,91,700
ATL,2017-09-05,6,279,113,0.0,10,1015,52,68,8,72,72,88,800
ATL,2017-09-05,6,281,113,0.0,10,1016,51,67,9,73,73,84,900
ATL,2017-09-05,7,276,113,0.0,10,1015,34,67,9,76,76,74,1000
ATL,2017-09-05,8,271,113,0.0,10,1015,17,66,10,80,80,65,1100
ATL,2017-09-05,9,266,113,0.0,10,1015,0,65,10,83,83,55,1200
ATL,2017-09-05,10,261,113,0.0,10,1014,1,65,11,85,85,53,1300
ATL,2017-09-05,10,256,113,0.0,10,1014,2,65,12,86,86,50,1400
ATL,2017-09-05,11,251,113,0.0,10,1013,3,65,13,87,87,48,1500
ATL,2017-09-05,12,254,113,0.0,10,1012,4,65,14,86,86,49,1600
ATL,2017-09-05,13,258,113,0.0,10,1012,6,65,15,85,85,50,1700
ATL,2017-09-05,13,261,113,0.0,10,1011,7,64,16,84,84,51,1800
ATL,2017-09-05,12,255,113,0.3,10,1011,16,65,15,82,82,57,1900
ATL,2017-09-05,12,250,356,0.7,10,1011,25,66,15,80,80,63,2000
ATL,2017-09-05,11,244,356,1.0,10,1012,35,67,14,78,78,69,2100
