airport,date,windSpeedKmph,WindDirDegree,WeatherCode,precipMM,visibility,pressure,cloudcover,DewPointF,WindGustKmph,tempF,WindChillF,humidity,time
CLT,2017-09-01,1,196,176,0.0,10,1016,13,66,2,68,68,91,0
CLT,2017-09-01,2,163,176,0.3,10,1016,42,66,3,68,68,93,100
CLT,2017-09-01,2,129,143,0.6,10,1015,71,66,4,68,68,95,200
CLT,2017-09-01,3,96,143,0.9,10,1015,100,66,5,68,68,97,300
CLT,2017-09-01,4,90,143,0.8,9,1015,100,66,7,68,68,97,400
CLT,2017-09-01,5,83,353,0.8,9,1015,100,66,9,68,68,96,500
CLT,2017-09-01,6,77,353,0.7,8,1015,100,67,10,68,68,96,600
CLT,2017-09-01,7,85,353,1.2,8,1015,100,67,12,69,69,95,700
CLT,2017-09-01,8,93,356,1.8,8,1015,100,68,14,70,70,95,800
CLT,2017-09-01,9,101,356,2.3,8,1015,100,68,16,71,71,94,900
CLT,2017-09-01,10,109,356,2.1,8,1015,94,69,16,73,73,91,1000
CLT,2017-09-01,10,118,116,1.9,9,1015,89,69,16,75,75,88,1100
CLT,2017-09-01,10,126,116,1.7,9,1015,83,70,17,76,76,84,1200
CLT,2017-09-01,10,129,116,1.1,8,1014,71,70,18,76,76,80,1300
CLT,2017-09-01,10,133,116,0.6,7,1014,58,70,19,76,76,76,1400
CLT,2017-09-01,10,136,116,0.0,6,1013,46,70,20,75,75,72,1500
CLT,2017-09-01,11,133,116,0.0,5,1012,46,70,21,75,75,71,1600
CLT,2017-09-01,11,131,119,0.0,4,1012,47,69,23,74,74,70,1700
CLT,2017-09-01,12,129,119,0.0,3,1011,48,69,24,74,74,68,1800
CLT,2017-09-01,11,114,119,0.2,3,1011,56,69,22,73,73,72,1900
CLT,2017-09-01,10,99,353,0.4,4,1011,64,69,21,72,72,76,2000
CLT,2017-09-01,9,85,353,0.6,4,1012,72,68,19,71,71,79,2100
CLT,2017-09-01,8,71,353,0.9,5,1013,78,68,17,70,70,85,2200
CLT,2017-09-01,7,58,353,1.1,6,1014,83,67,15,70,70,90,2300
CLT,2017-09-02,6,44,353,1.4,7,1015,89,67,12,69,69,95,0
CLT,2017-09-02,6,54,353,1.0,6,1015,91,66,11,68,68,95,100
CLT,2017-09-02,6,63,143,0.7,6,1015,93,66,11,67,67,96,200
CLT,2017-09-02,5,73,143,0.3,5,1015,95,65,10,67,67,96,300
CLT,2017-09-02,6,100,143,0.2,5,1015,97,65,10,67,67,96,400
CLT,2017-09-02,6,128,122,0.1,5,1015,98,65,11,67,67,95,500
CLT,2017-09-02,6,156,122,0.0,5,1015,100,65,12,67,67,95,600
CLT,2017-09-02,8,171,122,0.0,6,1015,90,65,14,69,68,91,700
CLT,2017-09-02,10,187,113,0.0,8,1015,80,65,16,71,70,88,800
CLT,2017-09-02,12,202,113,0.0,10,1016,70,65,18,73,71,84,900
CLT,2017-09-02,14,206,113,0.0,10,1016,49,64,19,75,73,76,1000
CLT,2017-09-02,16,210,113,0.0,10,1016,27,63,20,77,74,68,1100
CLT,2017-09-02,18,214,113,0.0,10,1016,6,61,21,79,76,60,1200
CLT,2017-09-02,19,219,113,0.0,10,1016,7,61,22,80,77,57,1300
CLT,2017-09-02,20,224,113,0.0,10,1016,8,61,23,81,79,54,1400
CLT,2017-09-02,21,229,113,0.0,10,1016,9,60,24,82,80,52,1500
CLT,2017-09-02,20,231,113,0.0,10,1015,14,60,25,81,79,52,1600
CLT,2017-09-02,19,232,116,0.0,10,1015,19,60,26,80,79,53,1700
CLT,2017-09-02,18,234,116,0.0,10,1015,25,60,26,80,78,54,1800
CLT,2017-09-02,16,239,116,0.0,10,1016,24,61,25,78,77,58,1900
CLT,2017-09-02,14,244,113,0.0,10,1016,24,62,24,76,76,62,2000
CLT,2017-09-02,12,249,113,0.0,10,1016,24,62,23,75,75,65,2100
CLT,2017-09-02,10,267,113,0.0,10,1016,20,64,18,74,74,70,2200
CLT,2017-09-02,8,284,113,0.0,10,1016,16,65,14,74,74,74,2300
CLT,2017-09-03,6,301,113,0.0,10,1017,11,66,9,73,73,78,0
CLT,2017-09-03,6,314,113,0.0,10,1017,8,66,9,72,72,81,100
CLT,2017-09-03,5,327,113,0.0,10,1017,4,66,8,71,71,84,200
CLT,2017-09-03,5,341,113,0.0,10,1017,1,65,8,69,69,87,300
CLT,2017-09-03,5,304,113,0.0,10,1017,1,65,7,69,69,88,400
CLT,2017-09-03,5,267,113,0.0,10,1017,1,65,7,69,68,88,500
CLT,2017-09-03,4,230,113,0.0,10,1017,1,64,6,69,68,88,600
CLT,2017-09-03,4,186,113,0.0,10,1018,1,64,5,71,69,85,700
CLT,2017-09-03,3,141,113,0.0,10,1018,1,64,4,73,70,81,800
CLT,2017-09-03,3,97,113,0.0,10,1019,1,64,3,75,71,78,900
CLT,2017-09-03,3,159,113,0.0,10,1019,1,63,3,76,73,70,1000
CLT,2017-09-03,3,221,113,0.0,10,1019,0,61,3,78,75,63,1100
CLT,2017-09-03,3,284,113,0.0,10,1019,0,60,3,80,77,55,1200
CLT,2017-09-03,4,281,113,0.0,10,1019,0,60,4,82,79,52,1300
CLT,2017-09-03,5,278,113,0.0,10,1018,0,59,6,84,81,48,1400
CLT,2017-09-03,6,275,113,0.0,10,1018,0,59,7,86,83,44,1500
CLT,2017-09-03,6,271,113,0.0,10,1017,0,59,7,86,83,44,1600
CLT,2017-09-03,6,266,113,0.0,10,1017,0,58,7,86,83,43,1700
CLT,2017-09-03,6,262,113,0.0,10,1017,0,58,7,85,83,42,1800
