airport,date,windSpeedKmph,WindDirDegree,WeatherCode,precipMM,visibility,pressure,cloudcover,DewPointF,WindGustKmph,tempF,WindChillF,humidity,time
DEN,2017-09-01,16,190,122,0.0,9,1015,98,50,31,67,67,67,0
DEN,2017-09-01,14,202,122,0.0,9,1015,68,50,28,66,66,66,100
DEN,2017-09-01,12,214,113,0.0,10,1015,37,50,25,65,65,66,200
DEN,2017-09-01,11,227,113,0.0,10,1014,7,50,23,64,64,65,300
DEN,2017-09-01,10,263,113,0.0,10,1015,31,50,20,63,63,69,400
DEN,2017-09-01,8,300,119,0.0,9,1015,56,49,18,62,62,73,500
DEN,2017-09-01,7,337,119,0.0,9,1016,81,49,15,60,60,77,600
DEN,2017-09-01,7,316,119,0.0,9,1016,59,48,13,63,63,66,700
DEN,2017-09-01,6,295,113,0.0,10,1015,37,48,10,66,66,55,800
DEN,2017-09-01,5,274,113,0.0,10,1015,16,48,8,69,69,45,900
DEN,2017-09-01,12,301,113,0.0,10,1014,10,47,15,73,73,38,1000
DEN,2017-09-01,18,328,113,0.0,10,1014,5,46,21,76,76,32,1100
DEN,2017-09-01,25,355,113,0.0,10,1013,0,44,28,80,80,26,1200
DEN,2017-09-01,24,241,113,0.0,10,1013,9,44,27,81,81,25,1300
DEN,2017-09-01,23,127,116,0.0,10,1013,18,43,27,82,82,24,1400
DEN,2017-09-01,22,13,116,0.0,10,1012,26,42,26,83,83,23,1500
DEN,2017-09-01,19,23,116,0.0,10,1012,18,42,24,82,82,23,1600
DEN,2017-09-01,16,32,113,0.0,10,1012,9,42,23,81,81,23,1700
DEN,2017-09-01,13,41,113,0.0,10,1013,0,42,22,80,80,23,1800
DEN,2017-09-01,12,83,113,0.0,10,1014,0,41,22,78,78,28,1900
DEN,2017-09-01,11,124,113,0.0,10,1015,0,39,21,77,77,33,2000
DEN,2017-09-01,10,166,113,0.0,10,1016,0,38,21,76,76,38,2100
DEN,2017-09-01,11,173,113,0.0,10,1016,0,41,23,72,72,43,2200
DEN,2017-09-01,12,181,113,0.0,10,1017,0,43,25,68,68,47,2300
DEN,2017-09-02,13,189,113,0.0,10,1017,0,46,27,64,64,52,0
DEN,2017-09-02,11,203,113,0.0,10,1018,0,46,23,62,62,55,100
DEN,2017-09-02,9,218,113,0.0,10,1018,0,46,19,61,61,58,200
DEN,2017-09-02,7,233,113,0.0,10,1019,0,46,15,60,60,61,300
DEN,2017-09-02,8,261,113,0.0,10,1019,0,46,16,58,58,63,400
