airport,date,windSpeedKmph,WindDirDegree,WeatherCode,precipMM,visibility,pressure,cloudcover,DewPointF,WindGustKmph,tempF,WindChillF,humidity,time
DFW,2017-09-01,9,35,113,0.0,10,1015,0,61,13,82,82,48,0
DFW,2017-09-01,8,32,113,0.0,10,1015,1,61,12,82,82,56,100
DFW,2017-09-01,7,30,113,0.0,10,1015,1,61,11,81,81,63,200
DFW,2017-09-01,6,27,113,0.0,10,1015,2,62,9,81,81,70,300
DFW,2017-09-01,7,23,113,0.0,10,1015,11,62,10,80,80,73,400
DFW,2017-09-01,7,19,119,0.0,10,1015,19,62,10,79,79,76,500
DFW,2017-09-01,8,15,119,0.0,10,1015,28,62,10,78,78,79,600
DFW,2017-09-01,7,21,119,0.0,10,1016,37,63,10,79,79,77,700
DFW,2017-09-01,7,27,113,0.0,10,1016,47,63,10,79,79,76,800
DFW,2017-09-01,7,34,113,0.0,10,1016,56,63,9,79,79,74,900
DFW,2017-09-01,6,73,113,0.0,10,1016,50,63,8,81,81,68,1000
DFW,2017-09-01,5,113,119,0.0,10,1017,45,64,6,84,84,63,1100
DFW,2017-09-01,4,152,119,0.0,10,1017,39,64,5,86,86,58,1200
DFW,2017-09-01,3,202,119,0.0,10,1016,50,63,4,88,88,53,1300
DFW,2017-09-01,2,252,116,0.0,10,1016,60,61,3,90,90,48,1400
DFW,2017-09-01,1,302,116,0.0,10,1016,71,60,1,92,92,43,1500
DFW,2017-09-01,1,269,116,0.0,10,1015,57,59,2,93,93,42,1600
DFW,2017-09-01,1,237,113,0.0,10,1015,42,58,2,93,93,41,1700
DFW,2017-09-01,1,204,113,0.0,10,1014,28,57,2,93,93,40,1800
DFW,2017-09-01,2,188,113,0.0,10,1014,19,58,3,92,92,42,1900
DFW,2017-09-01,3,172,113,0.0,10,1014,10,59,4,91,91,43,2000
DFW,2017-09-01,4,157,113,0.0,10,1014,1,59,5,90,90,44,2100
DFW,2017-09-01,5,138,113,0.0,10,1014,1,61,7,89,89,47,2200
DFW,2017-09-01,6,118,113,0.0,10,1015,1,62,9,87,87,50,2300
DFW,2017-09-02,8,99,113,0.0,10,1015,1,64,10,85,85,53,0
DFW,2017-09-02,9,115,113,0.0,10,1015,1,65,11,84,84,56,100
DFW,2017-09-02,9,130,113,0.0,10,1015,2,65,12,82,82,59,200
DFW,2017-09-02,10,145,113,0.0,10,1015,2,66,13,80,80,62,300
DFW,2017-09-02,10,152,113,0.0,10,1015,4,66,14,80,79,65,400
DFW,2017-09-02,10,158,113,0.0,10,1015,5,66,14,79,78,68,500
DFW,2017-09-02,10,165,113,0.0,10,1016,6,67,15,78,77,70,600
DFW,2017-09-02,10,171,113,0.0,10,1016,8,67,14,80,78,70,700
DFW,2017-09-02,10,177,113,0.0,10,1016,9,68,14,82,79,69,800
DFW,2017-09-02,10,183,113,0.0,10,1017,10,68,13,83,80,68,900
DFW,2017-09-02,9,189,113,0.0,10,1017,16,68,12,86,83,63,1000
