airport,date,windSpeedKmph,WindDirDegree,WeatherCode,precipMM,visibility,pressure,cloudcover,DewPointF,WindGustKmph,tempF,WindChillF,humidity,time
EWR,2017-09-01,19,344,116,0.0,10,1016,33,46,28,66,66,50,0
EWR,2017-09-01,19,347,116,0.0,10,1017,26,45,27,64,64,55,100
EWR,2017-09-01,19,350,113,0.0,10,1017,18,44,27,63,62,60,200
EWR,2017-09-01,19,352,113,0.0,10,1017,11,42,27,61,61,66,300
EWR,2017-09-01,18,352,113,0.0,10,1018,8,40,26,60,59,68,400
EWR,2017-09-01,18,351,113,0.0,10,1018,4,39,25,60,58,70,500
EWR,2017-09-01,17,350,113,0.0,10,1018,1,37,24,59,57,72,600
EWR,2017-09-01,17,348,113,0.0,10,1019,3,36,23,59,57,67,700
EWR,2017-09-01,17,347,113,0.0,10,1019,5,35,22,60,58,63,800
EWR,2017-09-01,16,345,113,0.0,10,1020,8,34,21,60,59,59,900
EWR,2017-09-01,16,342,113,0.0,10,1020,11,33,20,62,61,53,1000
EWR,2017-09-01,16,339,113,0.0,10,1020,15,32,19,64,64,47,1100
EWR,2017-09-01,15,337,113,0.0,10,1020,19,32,18,66,66,41,1200
EWR,2017-09-01,15,333,113,0.0,10,1020,21,32,17,68,68,38,1300
EWR,2017-09-01,15,329,116,0.0,10,1020,23,32,17,70,70,36,1400
EWR,2017-09-01,14,325,116,0.0,10,1020,26,33,16,72,72,33,1500
EWR,2017-09-01,14,324,116,0.0,10,1020,28,34,16,71,71,35,1600
EWR,2017-09-01,14,324,116,0.0,10,1020,31,34,16,71,71,36,1700
EWR,2017-09-01,13,323,116,0.0,10,1020,34,35,17,71,71,38,1800
EWR,2017-09-01,13,325,116,0.0,10,1020,30,36,17,70,70,43,1900
EWR,2017-09-01,12,327,113,0.0,10,1020,27,37,17,68,68,48,2000
EWR,2017-09-01,12,328,113,0.0,10,1021,23,38,17,67,67,53,2100
EWR,2017-09-01,11,294,113,0.0,10,1021,23,39,16,66,66,58,2200
EWR,2017-09-01,11,259,116,0.0,10,1022,23,40,15,65,65,64,2300
EWR,2017-09-02,10,225,116,0.0,10,1022,22,41,14,64,64,69,0
EWR,2017-09-02,10,157,116,0.0,10,1022,28,44,13,62,62,70,100
EWR,2017-09-02,10,89,116,0.0,10,1022,34,47,12,60,60,72,200
EWR,2017-09-02,9,22,116,0.0,10,1023,40,50,12,58,58,73,300
EWR,2017-09-02,10,27,116,0.0,10,1023,46,49,13,58,57,72,400
EWR,2017-09-02,10,31,122,0.0,10,1023,51,48,14,58,56,71,500
EWR,2017-09-02,11,36,122,0.0,10,1023,57,47,15,57,55,71,600
EWR,2017-09-02,11,43,122,0.0,10,1023,71,47,14,58,56,69,700
EWR,2017-09-02,10,50,122,0.0,10,1024,86,47,14,59,57,67,800
EWR,2017-09-02,10,57,122,0.0,10,1024,100,47,14,60,58,65,900
EWR,2017-09-02,10,70,122,0.0,10,1024,100,47,13,62,60,62,1000
EWR,2017-09-02,11,83,122,0.0,10,1024,100,48,13,64,62,59,1100
EWR,2017-09-02,11,96,122,0.0,10,1024,100,49,13,66,65,56,1200
EWR,2017-09-02,12,107,122,0.0,10,1023,100,49,14,67,66,55,1300
EWR,2017-09-02,13,119,122,0.0,10,1023,100,50,16,67,67,55,1400
EWR,2017-09-02,15,131,122,0.0,10,1022,100,51,18,68,68,55,1500
EWR,2017-09-02,15,133,122,0.2,10,1022,100,52,19,68,67,59,1600
EWR,2017-09-02,16,136,353,0.4,10,1022,100,54,20,67,66,64,1700
EWR,2017-09-02,17,138,353,0.6,10,1022,100,55,22,66,66,69,1800
EWR,2017-09-02,17,132,353,1.9,10,1021,100,56,23,65,65,75,1900
EWR,2017-09-02,18,126,308,3.3,9,1021,100,58,24,64,64,80,2000
EWR,2017-09-02,18,120,308,4.6,9,1020,100,59,24,63,63,86,2100
EWR,2017-09-02,18,113,308,5.7,8,1020,100,59,25,63,63,89,2200
EWR,2017-09-02,19,106,302,6.8,8,1019,100,59,25,62,62,92,2300
EWR,2017-09-03,19,100,302,7.9,7,1019,100,60,26,61,61,95,0
EWR,2017-09-03,19,99,302,5.9,6,1018,100,60,25,61,61,95,100
EWR,2017-09-03,18,98,122,3.9,6,1017,100,59,24,61,61,95,200
EWR,2017-09-03,17,97,122,1.9,5,1017,100,59,23,61,61,94,300
