airport,date,windSpeedKmph,WindDirDegree,WeatherCode,precipMM,visibility,pressure,cloudcover,DewPointF,WindGustKmph,tempF,WindChillF,humidity,time
IAH,2017-09-01,6,127,113,0.0,10,1014,0,65,10,82,82,58,0
IAH,2017-09-01,6,94,113,0.0,10,1014,26,66,10,80,80,71,100
IAH,2017-09-01,6,61,116,0.1,10,1014,51,66,10,79,79,83,200
IAH,2017-09-01,6,28,116,0.1,10,1013,77,67,10,78,78,96,300
IAH,2017-09-01,6,30,116,0.1,10,1014,84,67,10,78,78,97,400
IAH,2017-09-01,6,32,248,0.1,10,1014,92,67,10,77,77,98,500
IAH,2017-09-01,6,35,248,0.1,10,1014,100,67,10,76,76,100,600
IAH,2017-09-01,7,41,248,0.1,10,1015,88,67,10,77,77,97,700
IAH,2017-09-01,7,47,248,0.0,10,1015,76,67,9,78,78,94,800
IAH,2017-09-01,7,54,248,0.0,10,1016,64,67,9,79,79,91,900
IAH,2017-09-01,7,50,248,0.0,10,1016,61,66,8,82,82,86,1000
IAH,2017-09-01,7,47,116,0.0,10,1016,58,65,8,84,84,80,1100
IAH,2017-09-01,6,44,116,0.0,10,1016,55,65,8,87,87,75,1200
IAH,2017-09-01,6,37,116,0.0,10,1016,49,64,7,88,88,69,1300
IAH,2017-09-01,6,30,116,0.0,10,1015,44,63,7,89,89,62,1400
IAH,2017-09-01,6,23,116,0.0,10,1015,38,63,7,90,90,56,1500
IAH,2017-09-01,6,26,116,0.0,10,1015,36,63,8,90,90,56,1600
IAH,2017-09-01,7,29,116,0.0,10,1014,34,63,9,89,89,55,1700
IAH,2017-09-01,7,32,116,0.0,10,1014,33,63,10,89,89,55,1800
IAH,2017-09-01,7,57,116,0.0,10,1014,48,64,10,87,87,65,1900
IAH,2017-09-01,7,82,116,0.0,10,1015,63,65,10,86,86,74,2000
IAH,2017-09-01,7,108,116,0.0,9,1015,79,67,11,85,85,84,2100
IAH,2017-09-01,6,125,116,0.0,9,1015,86,68,9,84,84,89,2200
IAH,2017-09-01,5,142,248,0.0,9,1015,93,68,8,83,83,94,2300
IAH,2017-09-02,4,159,248,0.0,9,1015,100,69,6,82,82,99,0
IAH,2017-09-02,3,141,248,0.0,9,1015,100,70,5,79,79,99,100
IAH,2017-09-02,3,123,248,0.1,9,1015,100,72,4,76,76,99,200
IAH,2017-09-02,2,106,248,0.1,10,1015,100,73,3,73,73,99,300
IAH,2017-09-02,2,91,248,0.1,10,1016,100,73,3,74,73,99,400
IAH,2017-09-02,3,76,248,0.1,10,1016,100,74,3,74,74,99,500
IAH,2017-09-02,3,61,248,0.1,10,1016,100,74,4,75,74,99,600
IAH,2017-09-02,3,59,248,0.1,10,1017,100,74,4,76,75,98,700
IAH,2017-09-02,3,56,248,0.1,10,1017,99,75,4,77,76,97,800
IAH,2017-09-02,4,53,248,0.1,10,1018,99,75,4,78,76,97,900
IAH,2017-09-02,4,61,248,0.1,10,1018,79,75,4,81,79,88,1000
IAH,2017-09-02,4,69,143,0.0,10,1018,60,74,4,85,82,79,1100
IAH,2017-09-02,4,77,143,0.0,10,1018,40,73,4,88,85,70,1200
IAH,2017-09-02,4,79,143,0.0,10,1017,48,73,5,89,86,65,1300
IAH,2017-09-02,5,82,113,0.0,10,1017,56,72,5,90,88,60,1400
IAH,2017-09-02,5,85,113,0.0,10,1017,64,71,6,91,89,56,1500
IAH,2017-09-02,6,84,113,0.0,10,1016,71,71,7,90,89,57,1600
IAH,2017-09-02,6,83,122,0.0,10,1016,78,72,8,89,88,58,1700
IAH,2017-09-02,7,83,122,0.0,10,1016,85,72,10,88,88,60,1800
IAH,2017-09-02,7,107,122,0.0,10,1016,66,74,10,87,87,67,1900
IAH,2017-09-02,7,132,119,0.0,10,1017,47,77,10,86,86,74,2000
IAH,2017-09-02,7,156,119,0.0,10,1017,29,79,10,86,86,82,2100
IAH,2017-09-02,6,173,119,0.0,10,1017,42,78,9,83,83,87,2200
IAH,2017-09-02,6,190,113,0.0,10,1017,54,78,7,80,80,92,2300
IAH,2017-09-03,5,206,113,0.0,10,1017,67,77,6,78,78,97,0
IAH,2017-09-03,4,196,113,0.0,10,1017,78,75,5,76,76,98,100
IAH,2017-09-03,3,185,248,0.0,10,1017,89,74,5,74,74,98,200
IAH,2017-09-03,3,175,248,0.0,10,1017,100,73,4,73,73,99,300
IAH,2017-09-03,3,151,248,0.0,10,1017,100,73,4,73,73,99,400
IAH,2017-09-03,3,128,248,0.1,10,1018,100,73,4,74,73,99,500
IAH,2017-09-03,3,104,248,0.1,10,1018,100,73,4,75,74,99,600
IAH,2017-09-03,3,90,248,0.1,10,1018,100,74,4,76,75,97,700
IAH,2017-09-03,3,76,122,0.0,10,1019,100,75,3,77,76,96,800
IAH,2017-09-03,3,62,122,0.0,10,1019,100,75,3,78,77,95,900
IAH,2017-09-03,4,62,122,0.0,10,1019,99,74,4,80,79,86,1000
IAH,2017-09-03,5,62,122,0.0,10,1019,98,73,5,82,82,78,1100
IAH,2017-09-03,5,63,122,0.0,10,1019,97,72,6,85,84,69,1200
IAH,2017-09-03,7,67,122,0.0,10,1018,96,71,8,86,86,64,1300
IAH,2017-09-03,9,71,122,0.0,10,1018,94,71,10,88,87,59,1400
IAH,2017-09-03,10,75,122,0.0,10,1017,92,70,12,90,89,54,1500
IAH,2017-09-03,11,81,122,0.0,10,1017,74,71,13,90,89,56,1600
IAH,2017-09-03,11,87,122,0.0,10,1016,56,72,13,89,89,58,1700
IAH,2017-09-03,12,93,122,0.0,10,1016,38,72,14,89,88,60,1800
IAH,2017-09-03,11,102,122,0.0,10,1016,27,74,13,87,87,66,1900
IAH,2017-09-03,10,110,113,0.0,10,1016,15,76,12,86,86,73,2000
IAH,2017-09-03,9,118,113,0.0,10,1017,4,78,12,85,85,80,2100
IAH,2017-09-03,8,124,113,0.0,10,1017,25,78,10,83,83,85,2200
IAH,2017-09-03,7,131,113,0.0,10,1017,46,78,9,81,81,91,2300
IAH,2017-09-04,6,137,113,0.0,10,1017,67,78,8,79,79,96,0
IAH,2017-09-04,6,134,113,0.0,10,1017,78,77,7,78,78,97,100
IAH,2017-09-04,5,131,248,0.0,10,1016,89,76,6,76,76,98,200
IAH,2017-09-04,4,128,248,0.0,10,1016,100,75,5,75,75,99,300
IAH,2017-09-04,4,111,248,0.0,10,1016,100,74,5,75,75,99,400
IAH,2017-09-04,4,95,122,0.0,10,1017,100,74,5,74,74,98,500
IAH,2017-09-04,4,79,122,0.0,10,1017,100,73,5,74,74,98,600
IAH,2017-09-04,5,75,122,0.0,10,1017,100,73,5,74,74,97,700
IAH,2017-09-04,5,71,248,0.0,10,1017,100,73,6,74,74,97,800
IAH,2017-09-04,6,67,248,0.0,10,1017,100,73,7,75,75,96,900
IAH,2017-09-04,6,75,248,0.0,10,1017,78,73,7,78,78,87,1000
IAH,2017-09-04,7,83,143,0.0,10,1017,57,72,8,81,81,78,1100
