airport,date,windSpeedKmph,WindDirDegree,WeatherCode,precipMM,visibility,pressure,cloudcover,DewPointF,WindGustKmph,tempF,WindChillF,humidity,time
JFK,2017-09-01,24,344,113,0.0,10,1016,22,49,35,67,67,52,0
JFK,2017-09-01,24,348,113,0.0,10,1016,20,48,35,65,65,57,100
JFK,2017-09-01,24,352,113,0.0,10,1016,18,46,35,64,64,61,200
JFK,2017-09-01,24,356,113,0.0,10,1017,17,45,35,62,62,65,300
JFK,2017-09-01,24,355,113,0.0,10,1017,11,44,34,61,61,67,400
JFK,2017-09-01,23,355,113,0.0,10,1018,6,42,33,60,60,69,500
JFK,2017-09-01,23,355,113,0.0,10,1018,0,41,31,59,58,70,600
JFK,2017-09-01,22,353,113,0.0,10,1019,0,40,29,59,58,68,700
JFK,2017-09-01,21,352,113,0.0,10,1019,1,39,27,60,58,65,800
JFK,2017-09-01,20,350,113,0.0,10,1020,1,38,25,60,58,62,900
JFK,2017-09-01,19,346,113,0.0,10,1020,1,37,23,62,61,56,1000
JFK,2017-09-01,18,341,113,0.0,10,1020,2,36,21,63,63,51,1100
JFK,2017-09-01,17,337,113,0.0,10,1020,2,35,20,65,65,45,1200
JFK,2017-09-01,16,332,113,0.0,10,1020,2,34,19,67,67,42,1300
JFK,2017-09-01,16,328,113,0.0,10,1020,2,34,18,69,69,39,1400
JFK,2017-09-01,15,323,113,0.0,10,1020,2,34,18,71,71,35,1500
JFK,2017-09-01,15,322,113,0.0,10,1020,2,35,18,71,71,36,1600
JFK,2017-09-01,15,322,113,0.0,10,1020,2,35,19,71,71,37,1700
JFK,2017-09-01,15,322,113,0.0,10,1020,3,36,19,71,71,37,1800
JFK,2017-09-01,15,324,113,0.0,10,1020,4,37,20,70,70,41,1900
JFK,2017-09-01,14,327,113,0.0,10,1020,4,38,20,69,69,45,2000
JFK,2017-09-01,14,330,113,0.0,10,1021,5,39,21,69,69,49,2100
JFK,2017-09-01,13,297,113,0.0,10,1021,12,40,19,68,68,54,2200
JFK,2017-09-01,13,264,116,0.0,10,1022,19,41,18,67,67,59,2300
JFK,2017-09-02,12,232,116,0.0,10,1022,26,42,17,66,66,65,0
JFK,2017-09-02,12,166,116,0.0,10,1022,35,45,17,64,64,67,100
JFK,2017-09-02,13,100,119,0.0,10,1022,44,48,17,62,62,69,200
JFK,2017-09-02,14,34,119,0.0,10,1022,53,51,18,60,60,71,300
JFK,2017-09-02,14,37,119,0.0,10,1023,61,51,18,60,59,72,400
JFK,2017-09-02,14,39,122,0.0,10,1023,69,51,19,59,58,73,500
JFK,2017-09-02,14,41,122,0.0,10,1023,77,50,20,59,58,73,600
JFK,2017-09-02,14,47,122,0.0,10,1023,85,50,19,60,59,72,700
JFK,2017-09-02,13,53,122,0.0,10,1023,92,50,18,61,60,70,800
JFK,2017-09-02,12,59,122,0.0,10,1024,100,50,17,62,61,69,900
JFK,2017-09-02,12,72,122,0.0,10,1024,100,50,16,63,62,64,1000
JFK,2017-09-02,13,84,122,0.0,10,1024,100,50,16,65,64,60,1100
JFK,2017-09-02,13,97,122,0.0,10,1024,100,49,15,66,65,56,1200
JFK,2017-09-02,15,109,122,0.0,10,1023,100,50,17,67,66,57,1300
JFK,2017-09-02,16,121,122,0.0,10,1023,100,51,20,68,67,57,1400
JFK,2017-09-02,18,133,122,0.0,10,1023,100,51,22,69,67,57,1500
JFK,2017-09-02,19,135,122,0.2,10,1022,100,52,24,69,67,60,1600
JFK,2017-09-02,20,138,353,0.3,10,1022,100,54,27,68,67,64,1700
JFK,2017-09-02,21,140,353,0.5,10,1022,100,55,29,67,66,67,1800
JFK,2017-09-02,22,133,353,1.8,10,1021,100,56,30,66,65,73,1900
JFK,2017-09-02,23,127,308,3.1,9,1021,100,57,32,65,64,79,2000
JFK,2017-09-02,24,120,308,4.4,9,1021,100,59,33,64,64,84,2100
JFK,2017-09-02,25,114,308,5.9,9,1020,100,59,34,63,63,88,2200
JFK,2017-09-02,27,108,302,7.5,8,1019,100,59,35,62,62,91,2300
JFK,2017-09-03,28,103,302,9.0,8,1019,100,59,36,61,61,95,0
JFK,2017-09-03,28,103,302,7.6,9,1018,100,59,37,61,61,95,100
JFK,2017-09-03,29,103,353,6.3,9,1017,100,59,37,61,61,94,200
JFK,2017-09-03,29,104,353,4.9,10,1017,100,59,38,61,61,94,300
