airport,date,windSpeedKmph,WindDirDegree,WeatherCode,precipMM,visibility,pressure,cloudcover,DewPointF,WindGustKmph,tempF,WindChillF,humidity,time
MCO,2017-09-01,8,162,359,15.2,3,1017,60,73,17,85,85,75,0
MCO,2017-09-01,8,158,359,22.8,4,1017,71,72,18,83,83,83,100
MCO,2017-09-01,9,154,389,30.3,5,1017,81,72,18,81,81,91,200
MCO,2017-09-01,10,150,389,37.9,5,1017,91,72,19,80,80,99,300
MCO,2017-09-01,10,153,389,28.9,7,1017,88,72,18,79,79,99,400
MCO,2017-09-01,10,155,248,19.9,8,1017,85,73,18,79,79,98,500
MCO,2017-09-01,10,158,248,10.9,10,1017,82,73,17,78,78,98,600
MCO,2017-09-01,10,161,248,7.3,10,1017,77,73,16,80,80,95,700
MCO,2017-09-01,10,164,113,3.6,10,1017,72,73,16,81,81,93,800
MCO,2017-09-01,10,167,113,0.0,10,1017,67,73,15,82,82,90,900
MCO,2017-09-01,12,170,113,0.0,10,1017,45,72,16,84,84,83,1000
MCO,2017-09-01,13,173,113,0.0,10,1017,23,72,16,87,87,77,1100
MCO,2017-09-01,14,176,113,0.0,10,1017,1,72,17,89,89,70,1200
MCO,2017-09-01,14,186,113,0.0,10,1016,11,71,17,90,90,66,1300
MCO,2017-09-01,14,195,200,0.0,10,1016,21,71,17,91,91,62,1400
MCO,2017-09-01,14,205,200,0.0,10,1015,31,70,17,92,92,59,1500
MCO,2017-09-01,12,208,200,1.0,9,1015,50,71,16,91,91,63,1600
MCO,2017-09-01,10,211,308,1.9,8,1015,70,71,15,90,90,67,1700
MCO,2017-09-01,9,214,308,2.9,7,1015,90,72,14,88,88,71,1800
MCO,2017-09-01,7,213,308,4.0,6,1015,90,72,12,87,87,78,1900
MCO,2017-09-01,6,212,353,5.2,5,1016,90,73,9,85,85,86,2000
MCO,2017-09-01,4,210,353,6.3,4,1017,90,73,7,83,83,94,2100
MCO,2017-09-01,4,231,353,4.5,5,1017,85,73,7,83,83,94,2200
MCO,2017-09-01,3,252,116,2.8,6,1018,81,73,6,82,82,94,2300
MCO,2017-09-02,3,273,116,1.0,7,1019,76,73,5,81,81,94,0
MCO,2017-09-02,3,221,116,0.7,7,1018,68,72,5,78,78,95,100
MCO,2017-09-02,3,168,248,0.3,8,1017,60,71,5,75,75,95,200
MCO,2017-09-02,3,116,248,0.0,8,1017,51,71,5,72,72,96,300
MCO,2017-09-02,2,93,248,0.0,9,1017,68,71,4,72,72,97,400
MCO,2017-09-02,2,70,248,0.0,9,1017,84,71,4,73,72,97,500
MCO,2017-09-02,2,47,248,0.0,10,1017,100,72,4,73,72,98,600
MCO,2017-09-02,2,66,248,0.0,10,1017,93,73,3,75,74,96,700
MCO,2017-09-02,2,85,116,0.0,9,1017,87,74,3,78,76,94,800
MCO,2017-09-02,2,105,116,0.0,9,1018,80,75,3,80,78,92,900
