airport,date,windSpeedKmph,WindDirDegree,WeatherCode,precipMM,visibility,pressure,cloudcover,DewPointF,WindGustKmph,tempF,WindChillF,humidity,time
MIA,2017-09-01,9,121,176,0.2,10,1016,12,73,12,87,87,63,0
MIA,2017-09-01,10,115,176,0.1,10,1016,22,73,13,87,87,73,100
MIA,2017-09-01,10,110,116,0.1,9,1016,32,73,14,86,86,84,200
MIA,2017-09-01,10,104,116,0.0,9,1016,42,73,15,86,86,95,300
MIA,2017-09-01,11,107,116,0.0,10,1016,44,73,17,85,85,95,400
MIA,2017-09-01,12,110,119,0.0,10,1016,46,73,19,85,85,94,500
MIA,2017-09-01,13,113,119,0.0,10,1016,49,73,21,85,85,94,600
MIA,2017-09-01,14,115,119,0.0,10,1016,47,73,21,85,85,91,700
MIA,2017-09-01,14,118,113,0.0,10,1017,46,73,20,86,86,88,800
MIA,2017-09-01,14,120,113,0.0,10,1017,45,73,20,87,87,85,900
MIA,2017-09-01,15,128,113,0.0,10,1017,32,73,21,87,87,78,1000
MIA,2017-09-01,16,136,113,0.0,10,1017,19,73,22,88,88,72,1100
MIA,2017-09-01,17,143,113,0.0,10,1017,6,73,22,89,89,66,1200
MIA,2017-09-01,17,149,113,0.0,10,1017,6,72,24,89,89,65,1300
MIA,2017-09-01,18,155,113,0.0,10,1017,7,72,25,89,89,64,1400
MIA,2017-09-01,18,161,113,0.0,10,1017,7,72,26,90,90,64,1500
MIA,2017-09-01,18,163,113,0.0,10,1016,15,72,25,89,89,66,1600
MIA,2017-09-01,17,165,119,0.0,9,1016,22,72,24,89,89,69,1700
MIA,2017-09-01,16,167,119,0.0,9,1016,30,73,22,89,89,71,1800
MIA,2017-09-01,14,175,119,0.0,8,1016,40,73,21,88,88,76,1900
MIA,2017-09-01,12,184,143,0.0,8,1016,50,73,20,88,88,82,2000
MIA,2017-09-01,9,192,143,0.0,7,1017,60,73,18,87,87,87,2100
MIA,2017-09-01,9,203,143,0.0,7,1017,54,73,17,87,87,90,2200
MIA,2017-09-01,8,213,248,0.0,6,1017,48,73,16,87,87,93,2300
MIA,2017-09-02,8,224,248,0.0,6,1017,42,73,15,87,87,96,0
MIA,2017-09-02,7,221,248,0.0,6,1017,62,75,14,84,84,97,100
MIA,2017-09-02,6,219,248,0.0,5,1017,81,76,12,81,81,98,200
MIA,2017-09-02,6,216,248,0.0,5,1017,100,78,10,78,78,98,300
MIA,2017-09-02,6,199,248,0.0,7,1017,100,78,10,79,79,98,400
MIA,2017-09-02,6,181,122,0.0,8,1017,100,78,10,79,79,97,500
MIA,2017-09-02,7,163,122,0.0,10,1017,100,78,9,79,79,97,600
MIA,2017-09-02,9,164,122,0.0,10,1017,99,78,12,81,80,93,700
MIA,2017-09-02,10,166,122,0.0,10,1017,98,78,14,83,81,90,800
MIA,2017-09-02,12,167,122,0.0,10,1017,98,78,16,85,83,87,900
MIA,2017-09-02,13,168,122,0.0,10,1017,89,77,17,86,84,81,1000
MIA,2017-09-02,15,169,116,0.0,9,1017,81,76,19,87,85,75,1100
MIA,2017-09-02,16,170,116,0.0,9,1018,72,76,20,89,87,70,1200
MIA,2017-09-02,17,170,116,0.0,9,1018,58,76,21,90,88,69,1300
MIA,2017-09-02,17,169,113,0.0,9,1017,44,76,22,91,89,67,1400
MIA,2017-09-02,18,168,113,0.0,9,1017,29,77,23,92,90,66,1500
MIA,2017-09-02,17,176,113,0.0,8,1017,30,77,24,91,89,68,1600
MIA,2017-09-02,16,184,116,0.0,7,1017,31,78,25,90,89,70,1700
MIA,2017-09-02,16,191,116,0.0,6,1017,32,78,26,89,89,72,1800
MIA,2017-09-02,13,209,116,0.0,5,1017,34,79,22,88,88,76,1900
MIA,2017-09-02,10,226,143,0.0,4,1017,36,80,18,87,86,81,2000
MIA,2017-09-02,6,243,143,0.0,3,1018,38,81,14,85,85,86,2100
MIA,2017-09-02,5,249,143,0.0,3,1018,41,81,11,84,84,89,2200
MIA,2017-09-02,4,255,248,0.0,3,1018,44,81,8,83,83,92,2300
MIA,2017-09-03,3,261,248,0.0,3,1018,48,81,5,82,82,96,0
MIA,2017-09-03,2,262,248,0.0,4,1018,65,80,4,81,81,96,100
MIA,2017-09-03,2,263,248,0.0,5,1018,83,79,3,79,79,97,200
MIA,2017-09-03,1,263,248,0.0,5,1017,100,77,3,78,78,98,300
MIA,2017-09-03,2,258,248,0.0,7,1017,100,77,3,79,78,98,400
MIA,2017-09-03,3,252,248,0.0,8,1018,100,77,4,79,78,98,500
MIA,2017-09-03,4,246,248,0.0,10,1018,100,78,4,80,78,98,600
MIA,2017-09-03,5,187,248,0.0,10,1018,92,78,6,82,80,95,700
MIA,2017-09-03,6,127,113,0.1,10,1018,83,79,7,85,81,93,800
MIA,2017-09-03,7,68,113,0.1,10,1019,75,79,9,87,83,91,900
MIA,2017-09-03,8,73,113,0.1,10,1019,57,79,10,89,85,85,1000
MIA,2017-09-03,9,78,113,0.0,10,1019,40,79,11,90,86,78,1100
MIA,2017-09-03,10,83,113,0.0,10,1019,23,78,12,92,88,72,1200
MIA,2017-09-03,12,84,113,0.0,10,1018,23,77,14,92,89,69,1300
MIA,2017-09-03,13,84,113,0.0,10,1018,22,77,15,93,90,66,1400
MIA,2017-09-03,14,85,113,0.0,10,1018,22,76,16,93,90,63,1500
MIA,2017-09-03,16,84,113,0.0,10,1017,28,76,18,92,89,66,1600
MIA,2017-09-03,17,83,119,0.0,10,1017,33,76,20,91,88,68,1700
MIA,2017-09-03,18,82,119,0.0,10,1017,39,76,21,89,87,71,1800
MIA,2017-09-03,18,81,119,0.0,10,1017,45,77,21,87,86,75,1900
MIA,2017-09-03,17,79,113,0.0,10,1017,50,77,21,85,84,80,2000
MIA,2017-09-03,17,78,113,0.0,10,1017,56,78,21,83,83,85,2100
MIA,2017-09-03,15,80,113,0.0,10,1017,47,78,19,82,82,87,2200
MIA,2017-09-03,13,82,116,0.0,10,1017,39,79,17,82,82,90,2300
MIA,2017-09-04,12,84,116,0.0,10,1017,30,79,15,81,81,92,0
MIA,2017-09-04,12,81,116,0.0,10,1017,36,79,15,81,81,93,100
MIA,2017-09-04,12,78,143,0.0,10,1017,42,79,16,80,80,94,200
MIA,2017-09-04,12,75,143,0.0,10,1017,48,78,16,80,80,94,300
MIA,2017-09-04,13,73,143,0.0,10,1016,48,78,17,80,80,95,400
MIA,2017-09-04,13,71,116,0.0,10,1016,48,78,17,79,79,95,500
MIA,2017-09-04,14,69,116,0.0,10,1016,48,78,18,79,79,95,600
MIA,2017-09-04,15,70,116,0.0,10,1016,45,77,19,80,80,92,700
MIA,2017-09-04,16,71,116,0.0,10,1016,42,77,20,80,80,90,800
MIA,2017-09-04,17,72,116,0.0,10,1017,40,77,21,81,81,87,900
MIA,2017-09-04,18,76,116,0.0,10,1017,34,76,22,82,82,82,1000
MIA,2017-09-04,19,81,113,0.0,10,1017,28,75,23,84,84,77,1100
MIA,2017-09-04,20,86,113,0.0,10,1017,22,75,24,85,85,72,1200
MIA,2017-09-04,20,88,113,0.0,10,1017,19,74,25,85,85,70,1300
MIA,2017-09-04,20,90,113,0.0,10,1017,15,74,25,86,86,69,1400
MIA,2017-09-04,20,92,113,0.0,10,1016,11,74,26,86,86,68,1500
MIA,2017-09-04,20,92,113,0.0,10,1016,14,74,26,85,85,69,1600
MIA,2017-09-04,20,92,116,0.0,9,1016,17,74,25,85,85,70,1700
MIA,2017-09-04,19,92,116,0.0,9,1015,20,74,25,85,85,71,1800
MIA,2017-09-04,18,91,116,0.0,9,1015,31,75,24,84,84,75,1900
MIA,2017-09-04,17,89,116,0.0,9,1015,42,75,24,83,83,78,2000
MIA,2017-09-04,16,87,116,0.0,9,1015,52,76,23,82,82,81,2100
MIA,2017-09-04,16,89,116,0.0,8,1015,55,77,24,82,82,84,2200
MIA,2017-09-04,15,91,116,0.0,8,1016,57,77,25,82,82,87,2300
MIA,2017-09-05,15,94,116,0.0,7,1016,59,78,26,82,82,89,0
MIA,2017-09-05,14,99,116,0.0,7,1015,64,78,24,82,82,90,100
MIA,2017-09-05,14,105,122,0.0,8,1015,69,78,23,81,81,91,200
MIA,2017-09-05,13,110,122,0.0,8,1015,74,78,21,81,81,92,300
MIA,2017-09-05,12,107,122,0.0,9,1015,74,78,19,81,81,91,400
MIA,2017-09-05,11,104,113,0.0,9,1014,74,78,16,81,81,90,500
MIA,2017-09-05,10,101,113,0.0,10,1014,73,78,14,81,81,89,600
MIA,2017-09-05,11,99,113,0.0,9,1015,55,77,15,82,82,85,700
MIA,2017-09-05,11,97,113,0.0,9,1015,37,76,15,83,83,81,800
MIA,2017-09-05,12,94,113,0.0,9,1015,19,75,16,84,84,76,900
MIA,2017-09-05,12,98,113,0.0,9,1015,21,75,17,85,85,72,1000
MIA,2017-09-05,12,102,116,0.0,9,1015,23,74,18,86,86,68,1100
MIA,2017-09-05,13,106,116,0.0,9,1015,25,73,19,87,87,64,1200
MIA,2017-09-05,14,107,116,0.0,9,1015,30,73,20,87,87,63,1300
MIA,2017-09-05,15,107,116,0.0,9,1015,36,73,21,88,88,62,1400
MIA,2017-09-05,15,108,116,0.0,9,1015,41,73,22,88,88,61,1500
