airport,date,windSpeedKmph,WindDirDegree,WeatherCode,precipMM,visibility,pressure,cloudcover,DewPointF,WindGustKmph,tempF,WindChillF,humidity,time
PHX,2017-09-01,8,12,113,0.0,10,1007,0,36,9,103,103,20,0
PHX,2017-09-01,9,51,113,0.0,10,1007,0,37,11,101,101,22,100
PHX,2017-09-01,10,90,113,0.0,10,1008,0,38,13,99,99,24,200
PHX,2017-09-01,11,129,113,0.0,10,1008,0,39,14,97,97,26,300
PHX,2017-09-01,10,126,113,0.0,10,1008,0,40,13,96,96,32,400
PHX,2017-09-01,9,122,113,0.0,10,1008,0,41,11,96,96,38,500
PHX,2017-09-01,8,119,113,0.0,10,1009,0,42,10,95,95,44,600
PHX,2017-09-01,8,113,113,0.0,10,1009,0,42,10,95,95,41,700
PHX,2017-09-01,9,108,113,0.0,10,1009,0,42,10,95,95,38,800
PHX,2017-09-01,9,103,113,0.0,10,1010,0,42,10,96,96,35,900
PHX,2017-09-01,10,108,113,0.0,10,1009,0,40,11,97,97,29,1000
PHX,2017-09-01,11,114,113,0.0,10,1009,0,39,12,99,99,22,1100
PHX,2017-09-01,12,120,113,0.0,10,1009,0,37,14,101,101,16,1200
PHX,2017-09-01,12,115,113,0.0,10,1008,0,38,13,103,103,15,1300
PHX,2017-09-01,11,110,113,0.0,10,1007,0,38,13,105,105,13,1400
PHX,2017-09-01,11,106,113,0.0,10,1007,0,38,13,107,107,12,1500
PHX,2017-09-01,12,114,113,0.0,10,1006,0,39,13,106,106,12,1600
PHX,2017-09-01,12,123,113,0.0,10,1006,0,39,14,104,104,12,1700
PHX,2017-09-01,13,131,113,0.0,10,1005,0,39,14,103,103,12,1800
PHX,2017-09-01,11,194,113,0.0,10,1005,10,40,13,101,101,14,1900
PHX,2017-09-01,10,257,116,0.0,10,1005,20,42,12,100,100,15,2000
PHX,2017-09-01,8,320,116,0.0,10,1006,31,43,10,98,98,17,2100
PHX,2017-09-01,11,249,116,0.0,10,1006,21,47,16,99,99,18,2200
PHX,2017-09-01,14,179,113,0.0,10,1006,11,50,22,100,100,20,2300
PHX,2017-09-02,17,108,113,0.0,10,1006,2,54,27,100,100,21,0
PHX,2017-09-02,15,147,113,0.0,10,1007,1,54,24,96,96,26,100
PHX,2017-09-02,14,186,113,0.0,10,1007,1,55,20,91,91,30,200
PHX,2017-09-02,13,225,113,0.0,10,1008,0,55,16,86,86,35,300
PHX,2017-09-02,12,227,113,0.0,10,1009,4,56,14,83,83,40,400
PHX,2017-09-02,10,229,113,0.0,10,1010,9,57,12,80,80,46,500
PHX,2017-09-02,8,231,113,0.0,10,1011,13,58,10,78,78,52,600
PHX,2017-09-02,7,267,113,0.0,10,1011,16,63,9,81,80,57,700
PHX,2017-09-02,6,304,113,0.0,10,1012,19,68,8,85,82,62,800
PHX,2017-09-02,5,340,113,0.0,10,1013,23,72,7,89,84,68,900
PHX,2017-09-02,4,231,113,0.0,10,1013,15,72,5,92,88,61,1000
PHX,2017-09-02,3,122,113,0.0,10,1013,8,72,3,95,92,53,1100
PHX,2017-09-02,1,13,113,0.0,10,1014,0,72,2,98,96,46,1200
PHX,2017-09-02,3,70,113,0.0,10,1013,30,70,3,98,96,43,1300
PHX,2017-09-02,4,126,122,0.0,10,1012,61,68,4,97,96,41,1400
PHX,2017-09-02,5,183,122,0.0,10,1012,91,66,5,97,96,38,1500
PHX,2017-09-02,7,181,122,0.0,10,1012,94,66,8,97,96,38,1600
PHX,2017-09-02,10,178,122,0.0,10,1011,97,66,11,96,96,38,1700
PHX,2017-09-02,13,176,122,0.0,10,1011,100,66,14,95,95,38,1800
PHX,2017-09-02,13,186,122,0.0,10,1011,99,64,15,96,96,36,1900
PHX,2017-09-02,13,197,122,0.0,10,1011,97,63,15,96,96,34,2000
PHX,2017-09-02,13,207,122,0.0,10,1011,96,61,15,96,96,31,2100
PHX,2017-09-02,12,221,122,0.0,10,1011,87,61,14,94,94,34,2200
PHX,2017-09-02,11,235,200,0.0,10,1012,78,61,12,91,91,37,2300
PHX,2017-09-03,9,248,200,0.0,10,1013,69,61,11,89,89,39,0
PHX,2017-09-03,12,251,200,0.0,10,1013,67,61,15,88,88,42,100
PHX,2017-09-03,14,254,200,0.0,10,1013,66,62,18,86,86,45,200
PHX,2017-09-03,17,257,200,0.0,10,1013,64,62,22,85,85,47,300
PHX,2017-09-03,16,260,200,0.0,10,1014,57,63,21,84,84,49,400
PHX,2017-09-03,16,263,116,0.0,10,1014,50,63,19,83,83,51,500
PHX,2017-09-03,15,266,116,0.0,10,1014,43,63,18,82,82,53,600
PHX,2017-09-03,13,269,116,0.0,10,1014,59,64,15,83,83,53,700
PHX,2017-09-03,11,273,122,0.0,10,1015,76,65,12,85,83,53,800
PHX,2017-09-03,8,277,122,0.0,10,1015,92,65,9,86,84,53,900
PHX,2017-09-03,7,188,122,0.0,10,1015,93,66,7,87,85,52,1000
PHX,2017-09-03,5,100,122,0.0,10,1016,95,66,6,87,86,51,1100
PHX,2017-09-03,3,11,122,0.0,10,1016,96,66,4,88,87,50,1200
PHX,2017-09-03,3,73,122,0.0,10,1015,97,66,4,89,87,49,1300
PHX,2017-09-03,3,135,122,0.0,10,1015,99,66,4,89,88,48,1400
PHX,2017-09-03,3,196,122,0.0,10,1014,100,66,4,90,88,48,1500
PHX,2017-09-03,4,210,122,0.0,10,1013,99,66,5,90,89,46,1600
PHX,2017-09-03,6,223,122,0.0,10,1012,98,65,6,90,90,45,1700
PHX,2017-09-03,7,237,122,0.0,10,1012,97,65,8,90,90,44,1800
PHX,2017-09-03,11,245,122,0.0,10,1011,96,65,12,91,91,43,1900
PHX,2017-09-03,14,254,200,0.0,10,1011,95,65,17,91,91,42,2000
PHX,2017-09-03,18,262,200,0.0,10,1011,95,65,21,91,91,42,2100
PHX,2017-09-03,18,258,200,0.0,10,1011,96,66,21,89,89,47,2200
PHX,2017-09-03,18,254,122,0.0,10,1012,98,67,20,86,86,53,2300
PHX,2017-09-04,17,250,122,0.0,10,1012,100,67,20,83,83,59,0
PHX,2017-09-04,15,251,122,0.0,10,1012,100,68,18,82,82,61,100
PHX,2017-09-04,13,252,122,0.0,10,1012,100,68,15,81,81,64,200
PHX,2017-09-04,11,254,122,0.0,10,1012,100,68,13,80,80,67,300
PHX,2017-09-04,10,254,122,0.0,10,1012,100,68,12,80,80,68,400
PHX,2017-09-04,9,254,122,0.0,10,1012,100,68,11,79,79,69,500
PHX,2017-09-04,9,254,122,0.0,10,1012,100,68,10,79,79,71,600
PHX,2017-09-04,8,257,122,0.0,10,1012,68,69,10,80,80,69,700
PHX,2017-09-04,8,261,113,0.0,10,1013,35,70,9,82,82,68,800
PHX,2017-09-04,8,264,113,0.0,10,1013,3,71,9,83,83,66,900
PHX,2017-09-04,8,266,113,0.0,10,1012,2,71,9,87,87,60,1000
