airport,date,windSpeedKmph,WindDirDegree,WeatherCode,precipMM,visibility,pressure,cloudcover,DewPointF,WindGustKmph,tempF,WindChillF,humidity,time
SEA,2017-09-01,4,24,113,0.0,10,1021,0,58,5,70,70,81,0
SEA,2017-09-01,3,19,113,0.0,10,1020,7,58,5,68,68,78,100
SEA,2017-09-01,3,14,113,0.0,10,1020,13,58,4,65,65,76,200
SEA,2017-09-01,3,10,113,0.0,10,1020,20,58,4,63,63,73,300
SEA,2017-09-01,3,8,113,0.0,10,1020,18,57,4,62,62,73,400
SEA,2017-09-01,3,6,113,0.0,10,1020,17,56,4,62,62,73,500
SEA,2017-09-01,3,5,113,0.0,10,1020,16,55,4,62,62,73,600
SEA,2017-09-01,4,5,113,0.0,10,1020,16,54,4,63,63,71,700
SEA,2017-09-01,5,5,113,0.0,10,1020,15,53,5,65,65,69,800
SEA,2017-09-01,5,4,113,0.0,10,1020,15,51,6,67,67,66,900
SEA,2017-09-01,7,4,113,0.0,10,1020,10,49,8,70,70,61,1000
SEA,2017-09-01,9,5,113,0.0,10,1020,5,47,10,73,73,57,1100
SEA,2017-09-01,10,5,113,0.0,10,1020,0,46,12,77,77,52,1200
SEA,2017-09-01,11,5,113,0.0,10,1019,0,44,13,78,78,49,1300
SEA,2017-09-01,12,6,113,0.0,10,1019,0,43,15,80,80,45,1400
SEA,2017-09-01,13,7,113,0.0,10,1018,0,41,16,81,81,42,1500
SEA,2017-09-01,13,8,113,0.0,10,1018,0,42,17,81,81,41,1600
SEA,2017-09-01,13,10,113,0.0,10,1018,0,43,19,80,80,40,1700
SEA,2017-09-01,13,11,113,0.0,10,1017,0,44,20,80,80,40,1800
SEA,2017-09-01,12,15,113,0.0,10,1017,0,46,19,78,78,41,1900
SEA,2017-09-01,10,18,113,0.0,10,1017,0,47,18,77,77,43,2000
SEA,2017-09-01,9,22,113,0.0,10,1017,0,49,17,75,75,45,2100
SEA,2017-09-01,8,23,113,0.0,10,1016,0,49,15,73,73,48,2200
SEA,2017-09-01,8,25,113,0.0,10,1016,0,50,14,71,71,52,2300
SEA,2017-09-02,7,27,113,0.0,10,1016,0,50,12,69,69,55,0
SEA,2017-09-02,6,26,113,0.0,10,1016,0,51,11,69,69,57,100
SEA,2017-09-02,6,25,113,0.0,10,1015,0,52,10,68,68,59,200
SEA,2017-09-02,5,24,113,0.0,10,1015,0,53,9,67,67,61,300
SEA,2017-09-02,5,23,113,0.0,10,1015,0,54,8,68,67,62,400
SEA,2017-09-02,5,21,113,0.0,10,1015,0,54,8,68,67,63,500
SEA,2017-09-02,5,20,113,0.0,10,1015,0,55,7,69,67,64,600
SEA,2017-09-02,5,17,113,0.0,10,1015,0,56,7,72,70,62,700
SEA,2017-09-02,6,14,113,0.0,10,1015,0,57,7,74,72,60,800
SEA,2017-09-02,6,10,113,0.0,10,1015,0,58,6,77,74,58,900
SEA,2017-09-02,7,7,113,0.0,10,1015,0,58,8,80,77,53,1000
SEA,2017-09-02,7,4,113,0.0,10,1015,0,58,9,83,80,48,1100
SEA,2017-09-02,8,1,113,0.0,10,1015,0,58,10,86,83,44,1200
SEA,2017-09-02,9,1,113,0.0,10,1015,0,59,11,87,85,41,1300
SEA,2017-09-02,10,2,113,0.0,10,1014,0,59,12,89,87,39,1400
SEA,2017-09-02,11,2,113,0.0,10,1014,0,59,13,91,89,37,1500
SEA,2017-09-02,11,4,113,0.0,10,1014,0,59,13,89,88,38,1600
SEA,2017-09-02,11,6,113,0.0,10,1014,0,59,13,88,87,39,1700
SEA,2017-09-02,11,9,113,0.0,10,1013,0,59,13,87,86,40,1800
SEA,2017-09-02,10,13,113,0.0,10,1014,0,59,12,85,85,42,1900
SEA,2017-09-02,9,18,113,0.0,10,1014,0,60,11,84,84,45,2000
